date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
2018-12-19,652566201.474687,47675916.919131495,2944,1478828878.860825,84.41,188633838.0,372245682.9697659,2012.5,0.13972844,6036,121940265152.603,2659,58.167286366099994,3.1e-06,1578400,161
2018-12-20,421262670.4451793,58573387.05361794,3465,1498026520.2668927,85.5,424270497.0,383223282.3611139,1562.5,1.38496338,6911,134422150212.108,6937,85.499178345,3.11e-06,2386391,125
2018-12-21,220979803.33169827,97616495.02670501,3548,1931334508.4438295,110.22,492080721.00000006,391916099.274319,1987.5,1.4429349200000001,8252,155059538038.602,6638,221.57044607940003,4.44e-06,2381595,159
2018-12-22,63799114.26823481,41438938.29909095,2389,1915943891.7214224,109.33,207087564.0,395811289.1598813,1775.0,0.36591276,5596,158086630117.626,3671,21.7564196343,3.75e-06,1473577,142
2018-12-23,183584686.7993345,86539441.65825383,1704,1910036413.2883987,108.98,168248047.0,396921295.08122456,1750.0,0.21459038,4706,155768492602.639,2658,108.42242780560001,3.74e-06,828523,140
2018-12-24,385779377.41031325,138482544.60973203,24723,1882543737.5932071,107.4,168359714.0,400330559.99150276,1675.0,0.15474984,7253,157494281967.447,25517,0.06444000000000001,0.0,6083342,134
2018-12-25,134349382.72510347,75576652.9053651,292826,1797775667.4082398,102.55,146914405.0,399084353.25699306,1825.0,0.10216181,3431,138727171649.651,292677,0.002857043,2e-08,66323000,146
2018-12-26,111894558.5309447,61153611.75714185,2115,1636933503.1874936,93.37,118701099.0,399365233.5212488,1637.5,0.25993337,3551,132996175559.542,2169,8.3027834602,3e-06,914132,131
2018-12-27,111665700.89303009,75720516.6422108,2759,1662184776.231884,94.8,92318856.0,398278104.0552553,1775.0,0.80817816,4485,123258585781.859,3815,7.976711844,2.64e-06,1205709,142
2018-12-28,146178795.559903,52288823.58909196,3203,1495297954.4690304,85.28,113487961.0,400201187.70308167,1975.0,0.12004761,4954,119899300181.116,1997,0.3700188336,6.36e-06,2238693,158
2018-12-29,106191127.23432986,51928591.23139802,2252,1650194766.0393603,94.1,75204687.0,401563485.73485744,1862.5,0.12815033,6518,153670602555.752,1371,5.569707484,3.5600000000000002e-06,3833625,149
2018-12-30,28594144.86170422,21466009.725828145,2064,1570942393.6670053,89.57,57931119.0,403689241.65023094,1612.5,0.07299291000000001,3478,144939513892.723,1400,2.7874318354999996,3.79e-06,2434781,129
2018-12-31,40102309.205775626,28483876.50453125,1504,1556637189.324388,88.75,52690384.0,403216673.1915098,1700.0,0.18183538,3308,131735112316.996,1537,42.5096480625,3.1e-06,691640,136
2019-01-01,43770676.61627076,32645334.36442246,1889,1487442511.8846323,84.79,108083720.99999999,405023525.04822886,1875.0,0.42476816,4214,122422602206.162,2870,11.8391920882,3.02e-06,940076,150
2019-01-02,78738558.70576744,55281038.358637474,2583,1623593021.0668216,92.54,94042085.0,406201728.4883463,1887.5,0.12030173,4951,133760477509.258,2666,4.970474240200001,3.74e-06,1208697,151
2019-01-03,100704830.26488416,54840715.77321389,463322,1671141217.1962996,95.24,75308623.0,407204313.3926851,1875.0,0.20607881,4624,145062151107.858,462936,0.0001885752,2e-08,104986603,150
2019-01-04,93274640.8473837,52227703.62458285,2194,1548800644.9385052,88.27,66629980.0,407048631.50193805,1787.5,0.15096566,4168,151292250281.637,4316,22.367899581299998,3.1e-06,1025845,143
2019-01-05,77142333.78982505,49666978.72822566,1979,1535242279.1116133,87.48,66121035.0,406951387.6916551,1837.5,0.07281854,3685,145739309356.851,1664,6.411612153600001,3e-06,806544,147
2019-01-06,44812423.185249835,35158656.67706113,194665,1551988572.250498,88.43,57596543.0,406954644.7927301,1712.5,0.44762288,330756,148923377000.69,6000,0.0016182690000000003,1.95e-06,38047804,137
2019-01-07,89603879.61737871,68970241.47827485,2444,1582837504.0886462,90.17,44587533.0,407121986.4257239,1750.0,0.07028419,3862,131936176939.458,2130,2.8909602074,3e-06,932643,140
2019-01-08,105794020.44577199,38968271.788597755,5232,1561474251.7446907,88.95,54825087.0,407865150.1468506,1875.0,0.14754117,6281,135148331103.473,2327,0.0,3.99e-06,2396927,150
2019-01-09,76210546.17250647,42156139.69447936,2658,1539374873.9485292,87.68,44904722.0,408341305.92776287,1737.5,0.36784287,5848,139419346642.399,3369,1.7130900864,2.78e-06,1340317,139
2019-01-10,159905657.72442767,104172642.06947182,2306,1529325638.9212327,87.1,100285980.0,404002451.8468559,1700.0,0.28880968,4913,129895510808.665,2997,6.41894773,3.74e-06,1063499,136
2019-01-11,132910675.61786506,77688469.204321,2452,1327520288.5405836,75.6,73534881.0,404132090.35829616,1737.5,0.060145830000000004,3747,128834381109.107,1817,0.36860594399999996,3.64e-06,1001265,139
2019-01-12,97591247.06527342,39337969.919447124,2711,1318029978.9692028,75.05,176584499.0,405410155.1677641,2137.5,0.11176327,3861,136333917828.316,1882,0.08972978,4e-06,1012335,171
2019-01-13,83303185.59266908,61562328.3074396,2011,1454520057.2113895,82.81,134938585.0,401848602.97996753,1562.5,0.0849758,4748,166479389160.215,1974,13.165826919699999,3.65e-06,1013643,125
2019-01-14,71684816.40714505,40778454.41151365,1934,1387648114.5701132,79.0,87682392.99999999,402816203.78404456,1812.5,0.09619929,4210,135702651418.738,1540,6.10969647,3.7300000000000003e-06,881842,145
2019-01-15,102832635.21993032,58393524.91605807,1771,1413131068.0201447,80.44,61102447.0,402637085.3743972,1850.0,0.07101849,4297,146916515959.264,1881,11.0299094724,3.88e-06,846262,148
2019-01-16,79600242.3677055,53118223.22417144,2340,1360294787.7748084,77.43,66358792.0,403632539.2097054,1687.5,0.10756281000000001,4173,148911977488.492,1932,0.6044139342,2.78e-06,896179,135
2019-01-17,60739547.89957464,39667694.83008144,3457,1372738318.2565024,78.12,62380870.00000001,404049819.438035,1900.0,0.17952641,60024,130702318077.522,56380,0.025165576800000002,4.15e-06,3439876,152
2019-01-18,67465274.0469628,39618568.918907754,7822,1369004514.8420224,77.9,59556650.0,405001025.85946876,1650.0,0.09855349000000001,3351,139497618406.977,1870,0.0,2.6e-06,2269867,132
2019-01-19,47037408.14983113,27751404.889744416,3101,1337972924.4667869,76.13,57607818.0,405276450.9877863,1875.0,0.06097577,2644,122343971394.583,1431,0.0,5.45e-06,1070014,150
2019-01-20,81430387.96580057,49613146.883295685,4396,1360807162.7727635,77.42,57177838.99999999,403901279.44709915,1687.5,0.12526162,4458,137524398084.58,4010,0.0007742000000000001,1.135e-05,1944577,135
2019-01-21,106207782.15010348,60397441.049249575,5212,1326095844.689508,75.44,54569897.0,404434483.0448835,1975.0,0.15048448,5534,149440456298.412,5909,0.0007544,5.45e-06,2000427,158
2019-01-22,96064406.5157281,49510350.97785855,4725,1318763780.2620833,75.02,60200752.0,404509879.46849656,1725.0,0.15347496,6523,142028675335.016,6413,0.0007502,5.7900000000000005e-06,1880798,138
2019-01-23,45651895.327828124,31244214.163695864,6042,1334750836.589886,75.92,57199065.0,404928377.92886734,1700.0,0.19333528,5814,143346118696.945,25500,0.0,1.13e-05,3092655,136
2019-01-24,46787077.1892836,38989095.26462395,6770,1329023654.706119,75.58,57765739.99999999,405459838.22280365,1900.0,0.22319092000000001,12543,128010403917.165,7443,0.011337000000000002,1.01e-05,4607253,152
2019-01-25,85187205.41229515,48440636.69069771,4744,1313384922.9252074,74.69,62356147.0,405997044.4870898,1775.0,0.12390006,9354,138065722819.077,5084,0.20481939940000002,5.12e-06,2913591,142
2019-01-26,70158332.90224051,52990404.09585506,7182,1316113428.9482222,74.83,48715609.0,405129620.2734234,1562.5,0.13997973,5957,138233733814.14,7169,0.0007483,5.12e-06,3838146,125
2019-01-27,127089943.68103974,68316311.75423685,8101,1302439740.2276206,74.05,56898464.00000001,403601233.9266788,1987.5,0.12875294,5849,119157143211.843,7224,0.0007405000000000001,5.12e-06,3831381,159
2019-01-28,197673894.16597778,76536118.06121035,4141,1264487712.965687,71.88,88068769.0,402601747.6677834,1775.0,0.32064868,9081,146591462705.104,5128,0.3643144356,5.3500000000000004e-06,11569709,142
2019-01-29,122668138.94130185,66578106.86501325,3432,1143577699.480642,65.0,86525991.0,401221443.69759375,1800.0,0.15962462,6198,136366432359.128,2637,0.8793629,5.12e-06,5241946,144
2019-01-30,96216933.46556796,55461613.689954676,3870,1117546205.9536004,63.52,90454423.0,402582644.61577165,1825.0,0.19980437,7021,136406389330.903,2986,0.5793938688,5.12e-06,6855128,146
2019-01-31,104943393.79948239,53705776.76460159,8981,1166379041.1980307,66.29,76607875.0,402293441.69874907,1925.0,0.19340044,6603,141494522972.746,8155,0.0006629000000000001,5.12e-06,6193318,154
2019-02-01,36837767.07091967,25165114.184532333,2950,1127308825.260917,64.06,66405205.0,402085385.9609185,1637.5,0.10019219,5275,154781230231.979,2136,0.3890190838,4.42e-06,2953171,131
