date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2018-08-20,322985.1947407742,47,52408341.23152708,0.06606,476638.0,43,1321.1999999999998
2018-08-21,144949.82225930263,33,49165939.503344156,0.061973,455046.0,36,1070.8961993434868
2018-08-22,468334.93555864133,69,48775588.93183646,0.061481,467461.0,51,288.96070000000003
2018-08-23,800139.1175754885,107,45236885.18789324,0.05702,432048.0,65,548.2489558824676
2018-08-24,263782.5441991514,102,41559051.90848454,0.052384,585002.0,66,1023.4877853920001
2018-08-25,576648.905366478,48,44239557.01282934,0.055763,319704.0,47,528.1526863619314
2018-08-26,19966.94176605812,23,40360629.13433372,0.050874,197509.0,27,634.90752
2018-08-27,238400.19765472595,138,39799675.75052151,0.050167,170960.0,68,542.9128042222046
2018-08-28,191592.76309578848,93,31912564.48228314,0.040225,125154.0,73,622.2807499999999
2018-08-29,181541.83244598476,49,34260954.42304751,0.043185,101559.0,46,1294.2544500000001
2018-08-30,134239.38780062573,55,36189438.50617063,0.045616,123914.0,51,929.015456
2018-08-31,105979.50110449333,28,35558486.559790924,0.044782,16029.000000000002,34,929.1994088198803
2018-09-01,125798.19861783557,33,37335843.945181586,0.047021,63556.0,31,1206.1638836
2018-09-02,969472.2430907941,43,35984094.11648702,0.045318,24927.0,46,951.6867916919999
2018-09-03,290841.7154909476,64,36317679.710954115,0.045738,106426.0,54,1147.4490977157632
2018-09-04,70651.40435239539,30,34725233.07603741,0.043733,40126.0,34,869.7974536499895
2018-09-05,308627.3839475941,33,33820703.172413796,0.042588,37737.0,36,800.6544
2018-09-06,45323.7098109475,30,31490144.645739328,0.039653,41430.0,36,460.3037168258842
2018-09-07,38660.37540793162,37,30420744.918473374,0.038306,53266.0,40,517.131
2018-09-08,44654.30298177472,26,32128720.578760426,0.040457,22651.0,32,203.7438310230431
2018-09-09,19021.900849450492,13,30826483.221091364,0.038817,8103.0,14,671.7017694080989
2018-09-10,17402.719915599813,18,30407887.368811373,0.03829,10926.0,22,776.9903892724543
2018-09-11,22990.61040543183,14,31129736.16440322,0.039191,17881.0,22,467.39455058349995
2018-09-12,28653.587111695273,22,29885596.211069245,0.037624,29033.0,29,803.36646
2018-09-13,131757.94894056156,26,31453996.613043953,0.039599,90666.0,27,1467.3607445
2018-09-14,43824.10875232746,37,36385670.109668404,0.045808,81608.0,34,458.08000000000004
2018-09-15,218078.53155454257,39,39164477.69665864,0.049306,46656.0,31,902.349106
2018-09-16,66679.28531798016,58,37697574.026840754,0.047459,84704.0,39,288.8479712398897
2018-09-17,46858.96223150485,26,30583748.273794185,0.038503,43578.0,29,332.16472089205456
2018-09-18,46729.83678985205,32,28990025.862498377,0.036497,51114.0,37,581.5986738994973
2018-09-19,193779.5608956419,21,30525431.319838054,0.03843,38265.0,24,1210.545
