date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2019-05-29,53350253.47609246,4015,362431784.57177764,1.01,115843796.0,2845,264.26671513
2019-05-30,245643042.59341055,5417,329210804.8127645,0.99843,169319401.0,3473,483.3478705656
2019-05-31,90376872.05805628,4241,333055880.82874,0.99949,98020521.0,2950,394.79856599184
2019-06-01,22991657.7057,3122,333753043.4417368,1.0,70583907.0,2241,240.0
2019-06-02,12225865.298606671,2478,333694382.693446,0.999937,80548187.0,1895,160.1805164916645
2019-06-03,38514486.52685914,3770,334096792.2802764,0.999191,111821198.0,2604,301.75568200000004
2019-06-04,55489663.74344228,4868,335601574.016892,0.999079,136428049.0,3040,432.818414767232
2019-06-05,44677950.025734,4074,337474989.0,1.0,93861385.0,2795,253.5975775
2019-06-06,48936743.214314,3264,338793465.0,1.0,85196344.0,2325,280.0
2019-06-07,38089337.44748,3228,338066186.0,1.0,86557460.0,2417,238.973821
2019-06-08,13802620.66504,2018,337493412.2906197,1.0,58308368.0,1597,246.2054265
2019-06-09,13426994.521106945,2536,336035426.560464,0.993977,71761740.0,1786,280.634942590673
2019-06-10,110608059.617033,3724,340353226.0,1.0,84730095.0,2505,273.0449975
2019-06-11,39891588.331395,3483,340263708.0,1.0,77849492.0,2540,159.313806
2019-06-12,67997344.270703,3673,341186525.23268396,1.0,104507306.0,2473,297.572205
2019-06-13,98988204.39928459,3708,343158083.0539765,0.999089,100661027.0,2548,370.547123765
2019-06-14,44549855.28561828,4058,344293077.191646,0.999251,102745227.0,2790,344.3623757481215
2019-06-15,27067271.535135,2909,344152801.04560095,1.0,74693218.0,2092,293.721149
2019-06-16,51842448.11240769,3678,343485303.56091,0.999234,110310160.0,2488,399.488771019276
2019-06-17,60414917.663632,4223,342956758.0,1.0,109557094.0,2863,455.394727
2019-06-18,47014673.68289,3868,341838764.7852854,1.0,100022653.0,2696,280.51989
2019-06-19,66748203.396527946,3162,345620153.1080818,0.998301,76300038.0,2420,266.1533264124405
2019-06-20,81326394.12685531,3341,346413891.0061494,0.998658,119884299.0,2610,268.52837066676005
2019-06-21,113763016.23259407,5787,342486872.82086086,0.997613,112588159.0,4216,478.85424
2019-06-22,64287357.63158894,5608,342043622.0359409,0.998379,198318684.0,3541,359.345555091
2019-06-23,64627845.22544477,3139,344187503.709252,0.999852,126408037.0,2153,349.9482
2019-06-24,79128447.938218,4126,346117014.0,1.0,146462988.0,2994,200.0
2019-06-25,110911633.21564554,4347,345906283.777376,0.999824,162151709.0,2872,388.105543400288
2019-06-26,136434668.963884,8165,355534300.0,1.0,301891501.0,4839,503.2
2019-06-27,153239412.595891,7875,360953145.0,1.0,270933375.0,4500,651.167382
2019-06-28,112811914.556275,5985,364258191.0,1.0,222978120.0,3682,503.730799
2019-06-29,66903737.770366,4550,365988888.9111193,1.0,204845657.0,2804,500.0
2019-06-30,32194911.860635,3537,366985179.0,1.0,184930416.0,2276,416.454318
2019-07-01,100360019.730164,4758,367612314.0,1.0,180323705.0,3060,500.0
2019-07-02,79801891.14589,4977,370243193.0,1.0,197506894.0,3098,557.496032
2019-07-03,140738083.169829,4526,366894722.0,1.0,187818876.0,2907,529.3574815
2019-07-04,59846005.668904,3658,366625560.09389764,1.0,157145205.0,2366,500.0
2019-07-05,60981488.20470697,3274,366924843.418768,0.999067,105604889.0,2183,499.5335
2019-07-06,41492615.375825,2852,369287703.28876036,1.0,95844874.0,1762,494.632916
2019-07-07,21394302.001755748,2768,367749991.9373746,0.995885,79091529.0,1711,401.341655
2019-07-08,155846025.7251888,4124,374436266.8997469,0.996836,122496181.0,2576,506.71090546419003
2019-07-09,169862170.36400995,4833,374951045.022955,0.999553,164588273.0,2942,499.7765
2019-07-10,106973839.23721357,5194,376963194.043208,0.997852,190158658.0,3200,504.601771199628
2019-07-11,114324686.458985,5144,377162272.91148615,1.0,178747822.0,2985,599.945
2019-07-12,89602967.94076785,4566,381287278.574015,0.998723,135296874.0,2855,409.7905578458285
