date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianTxValue(USD),medianFee,paymentCount
2018-03-20,2381346379.111303,745840869.3790987,2495,5015514014.787833,0.193447,249683008.0,439.420887,5533,140557.5547198001,0.171246,3355
2018-03-21,2266373150.854577,761323513.9280368,2515,5323216487.581043,0.205315,257686000.00000003,444.625359,5484,146396.1339088714,0.171246,3247
2018-03-22,2955565710.2051783,795414238.8781489,2584,5584768774.945671,0.215403,201540000.0,456.02584,5910,152936.72131074523,0.171246,3860
2018-03-23,2234045930.702062,803281634.6985426,2456,5244994515.748334,0.202298,148850000.0,433.716537,5320,142417.75739288115,0.171246,3410
2018-03-24,1792302682.6397276,726139262.4415681,3837,4896171708.81767,0.188844,132660000.0,678.950281,7860,42942.21957917548,0.17107,4626
2018-03-25,2066154449.5517604,521339915.8700506,1810,4884556381.416387,0.188396,59349400.0,318.615507,4084,129826.88178986665,0.171246,2526
2018-03-26,2747660516.1890993,549842513.0239134,2035,4769543896.499767,0.18396,117497000.0,360.948226,4351,516140.3699287039,0.171246,2884
2018-03-27,971898116.3902164,351246234.28617436,1012,4361322170.364883,0.168215,107510000.0,180.769555,2606,161200.20640617932,0.171246,1721
2018-03-28,865433307.5899366,438787742.717877,1196,4023777639.0494447,0.155196,60260800.0,212.483087,2824,45473.07111018617,0.171246,1692
2018-03-29,1914262610.8976111,494268356.25189686,2240,4152038857.4258585,0.160143,103465000.0,394.638053,4736,561593.6252542192,0.171246,3042
2018-03-30,1058593862.7729757,429880062.24490404,2054,3802308602.850763,0.146654,119873999.99999999,361.444463,4228,316961.39769605093,0.171246,2660
2018-03-31,781039131.7976713,345558252.30009156,2107,3814260981.9955554,0.147115,113124000.0,370.472374,3863,128427.97277835758,0.171246,2583
2018-04-01,1890540443.5741117,206362219.25972083,1500,4060101465.170904,0.156597,100833000.0,265.454027,3321,107477.50080238657,0.171246,2083
2018-04-02,1062068415.2493025,294305714.5507234,1504,3932903256.897183,0.151691,102697000.0,264.875586,3363,103601.09012725014,0.171246,2072
2018-04-03,738554306.2863678,411631106.64780533,2390,4092951063.3499684,0.157864,155987008.0,420.616945,4928,105995.27895579938,0.171246,3030
2018-04-04,938479268.6797832,505401842.74467427,1970,4437625539.692179,0.171158,154800992.0,347.61926,4149,114333.47879393674,0.171246,2677
2018-04-05,1332358910.6229336,385405480.1350221,3683,4034044759.0524745,0.155592,113407000.0,651.739925,7046,32957.757271171584,0.171246,4229
2018-04-06,849858344.4374256,323960707.9124927,2562,3847421705.1235642,0.148394,51827500.0,451.678535,5546,98242.76724451371,0.171246,3670
2018-04-07,409759522.4315228,246690031.1257413,1870,3756443615.257269,0.144885,48205399.99999999,328.790197,3947,92878.53923837192,0.171246,2296
2018-04-08,403934419.6557462,260010569.89389142,1976,3858596272.6465373,0.148825,51093100.0,348.515126,4098,63109.22988014207,0.171246,2376
2018-04-09,478202509.5660831,271426116.3544792,1818,4072987219.310988,0.157094,93021904.00000001,321.359673,3923,101578.9367888232,0.171246,2369
2018-04-10,437289593.74588466,261247372.57430783,1893,3973064288.846475,0.15324,55981299.99999999,333.86093,4133,45795.533606895355,0.171246,2374
2018-04-11,474750071.2016284,286608242.26609164,2295,4064353504.273555,0.156761,91793296.0,405.152456,4339,32919.5629816596,0.171246,2690
2018-04-12,786520747.1610774,388093208.7897011,3686,4323520501.319196,0.166757,488007008.0,653.409519,7160,36595.319104140675,0.171246,4422
2018-04-13,1946538502.9550123,378234256.6406513,2546,5486997791.964813,0.211632,230412991.99999997,453.060047,5682,131243.1140148809,0.171246,3481
